,codigo_municipio,ano,dado_identificador,valor,tipo_dado
0,1100072,2015,PIB TOTAL,2.87201313398863e+20,float
1,1100072,2016,PIB TOTAL,3.68811085280419e+20,float
2,1100072,2017,PIB TOTAL,5.59937297845591e+20,float
3,1100072,2018,PIB TOTAL,5.32970843614122e+20,float
4,1100072,2019,PIB TOTAL,5.87593499434603e+20,float
5,1100072,2020,PIB TOTAL,4.24011880809907e+20,float
6,1100072,2021,PIB TOTAL,6.57470048451535e+20,float
7,1100023,2015,PIB TOTAL,2.1677768637124698e+21,float
8,1100023,2016,PIB TOTAL,2.3297701671439748e+21,float
9,1100023,2017,PIB TOTAL,2.4534542930225906e+21,float
10,1100023,2018,PIB TOTAL,2.6281670357625413e+21,float
11,1100023,2019,PIB TOTAL,2.7503942029487574e+21,float
12,1100023,2020,PIB TOTAL,3.0174599226922663e+21,float
13,1100023,2021,PIB TOTAL,3.5031696377123056e+21,float
14,1100072,2010,População total estimada do município,8783.0,int
15,1100072,2022,População total estimada do município,7519.0,int
16,1100023,2010,População total estimada do município,90353.0,int
17,1100023,2022,População total estimada do município,96833.0,int
18,1100072,2000,Domicílios particulares permanentes,2627.0,int
19,1100023,2000,Domicílios particulares permanentes,18527.0,int
