,codigo_municipio,ano,dado_identificador,valor,tipo_dado
0,1100015,2015,PIB TOTAL,421300000.0,float
7,1100023,2015,PIB TOTAL,2037799000.0,float
14,1100031,2015,PIB TOTAL,116565000.0,float
21,1100049,2015,PIB TOTAL,1794478000.0,float
28,1100056,2015,PIB TOTAL,397736000.0,float
35,1100064,2015,PIB TOTAL,285372000.0,float
42,1100072,2015,PIB TOTAL,190906000.0,float
49,1100080,2015,PIB TOTAL,187170000.0,float
56,1100098,2015,PIB TOTAL,483962000.0,float
63,1100106,2015,PIB TOTAL,682458000.0,float
70,1100114,2015,PIB TOTAL,1207965000.0,float
77,1100122,2015,PIB TOTAL,2755755000.0,float
84,1100130,2015,PIB TOTAL,451940000.0,float
91,1100148,2015,PIB TOTAL,272574000.0,float
98,1100155,2015,PIB TOTAL,633050000.0,float
105,1100189,2015,PIB TOTAL,906443000.0,float
112,1100205,2015,PIB TOTAL,13970352000.0,float
119,1100254,2015,PIB TOTAL,359302000.0,float
126,1100262,2015,PIB TOTAL,78522000.0,float
133,1100288,2015,PIB TOTAL,1082400000.0,float
140,1100296,2015,PIB TOTAL,135949000.0,float
147,1100304,2015,PIB TOTAL,2185475000.0,float
154,1100320,2015,PIB TOTAL,454048000.0,float
161,1100338,2015,PIB TOTAL,379824000.0,float
168,1100346,2015,PIB TOTAL,220491000.0,float
175,1100379,2015,PIB TOTAL,212357000.0,float
182,1100403,2015,PIB TOTAL,258222000.0,float
189,1100452,2015,PIB TOTAL,519513000.0,float
196,1100502,2015,PIB TOTAL,134273000.0,float
203,1100601,2015,PIB TOTAL,125344000.0,float
210,1100700,2015,PIB TOTAL,223211000.0,float
217,1100809,2015,PIB TOTAL,399266000.0,float
224,1100908,2015,PIB TOTAL,66529000.0,float
231,1100924,2015,PIB TOTAL,235664000.0,float
238,1100940,2015,PIB TOTAL,288031000.0,float
245,1101005,2015,PIB TOTAL,154876000.0,float
252,1101104,2015,PIB TOTAL,143840000.0,float
259,1101203,2015,PIB TOTAL,170866000.0,float
266,1101302,2015,PIB TOTAL,178007000.0,float
